trip_id,arrival_time,departure_time,start_pickup_drop_off_window,end_pickup_drop_off_window,stop_id,stop_sequence,pickup_type,drop_off_type,local_zone_id,stop_headsign,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:38:00,05:38:00,,,IDFM:463213,2,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:40:00,05:40:00,,,IDFM:463260,3,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:42:00,05:42:00,,,IDFM:463085,4,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:43:00,05:43:00,,,IDFM:22222,5,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:44:00,05:44:00,,,IDFM:22230,6,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:46:00,05:46:00,,,IDFM:22157,7,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:47:00,05:47:00,,,IDFM:22229,8,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:48:00,05:48:00,,,IDFM:22217,9,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:50:00,05:50:00,,,IDFM:22226,10,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:51:00,05:51:00,,,IDFM:463198,11,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:53:00,05:53:00,,,IDFM:22093,12,0,0,,,1,,
