route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_69,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_63,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_172,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_163,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_83,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_108,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_194,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-4608-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-4162-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-1605-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_118,Châtillon Montrouge,,0,,,2,0
IDFM:C01094,IDFM:1,IDFM:RATP:152619-C01094-COU_RATP_5109832_3223353_58,Laplace RER,,1,,,1,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_182,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_97,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_73,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_54,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_65,Châtillon Montrouge,,0,,,2,0
